Index,Kernel Name,Launch,Theoretical Occupancy,Achieved Occupancy,Avg. Active Threads Per Warp
1,ampere_sgemm_128x32_tn,0,66.67,28.66,32.00
1,ampere_sgemm_128x32_tn,1,66.67,28.70,32.00
1,ampere_sgemm_128x32_tn,2,66.67,28.68,32.00
1,ampere_sgemm_128x32_tn,3,66.67,28.64,32.00
1,ampere_sgemm_128x32_tn,4,66.67,28.68,32.00
1,ampere_sgemm_128x32_tn,5,66.67,28.70,32.00
1,ampere_sgemm_128x32_tn,6,66.67,28.74,32.00
1,ampere_sgemm_128x32_tn,7,66.67,28.74,32.00
1,ampere_sgemm_128x32_tn,8,66.67,28.75,32.00
1,ampere_sgemm_128x32_tn,9,66.67,28.73,32.00
2,ampere_sgemm_64x32_sliced1x4_tn,0,33.33,32.02,32.00
2,ampere_sgemm_64x32_sliced1x4_tn,1,33.33,32.01,32.00
2,ampere_sgemm_64x32_sliced1x4_tn,2,33.33,32.03,32.00
2,ampere_sgemm_64x32_sliced1x4_tn,3,33.33,32.02,32.00
2,ampere_sgemm_64x32_sliced1x4_tn,4,33.33,32.02,32.00
2,ampere_sgemm_64x32_sliced1x4_tn,5,33.33,32.00,32.00
2,ampere_sgemm_64x32_sliced1x4_tn,6,33.33,32.02,32.00
2,ampere_sgemm_64x32_sliced1x4_tn,7,33.33,32.01,32.00
2,ampere_sgemm_64x32_sliced1x4_tn,8,33.33,32.02,32.00
2,ampere_sgemm_64x32_sliced1x4_tn,9,33.33,32.01,32.00
3,ampere_sgemm_128x64_tn,0,33.33,28.30,32.00
3,ampere_sgemm_128x64_tn,1,33.33,28.27,32.00
3,ampere_sgemm_128x64_tn,2,33.33,28.37,32.00
3,ampere_sgemm_128x64_tn,3,33.33,28.35,32.00
3,ampere_sgemm_128x64_tn,4,33.33,28.30,32.00
3,ampere_sgemm_128x64_tn,5,33.33,28.33,32.00
3,ampere_sgemm_128x64_tn,6,33.33,28.34,32.00
3,ampere_sgemm_128x64_tn,7,33.33,28.28,32.00
3,ampere_sgemm_128x64_tn,8,33.33,28.33,32.00
3,ampere_sgemm_128x64_tn,9,33.33,28.33,32.00
4,vectorized_elementwise_kernel,0,100,26.26,32
4,vectorized_elementwise_kernel,1,100,8.30,32
4,vectorized_elementwise_kernel,2,100,8.30,32
4,vectorized_elementwise_kernel,3,100,24.45,32
4,vectorized_elementwise_kernel,4,100,59.28,32
4,vectorized_elementwise_kernel,5,100,57.03,32
4,vectorized_elementwise_kernel,6,100,59.73,32
4,vectorized_elementwise_kernel,7,100,57.73,32
4,vectorized_elementwise_kernel,8,100,62.33,32
4,vectorized_elementwise_kernel,9,100,24.88,32
5,elementwise_kernel,0,100,56.04,32
5,elementwise_kernel,1,100,53.45,32
5,elementwise_kernel,2,100,71.83,32
5,elementwise_kernel,3,100,54.88,32
5,elementwise_kernel,4,100,8.31,32
5,elementwise_kernel,5,100,55.28,32
5,elementwise_kernel,6,100,30.80,32
5,elementwise_kernel,7,100,54.42,32
5,elementwise_kernel,8,100,53.79,32
5,elementwise_kernel,9,100,56.49,32
6,ampere_sgemm_128x128_nn,0,33.33,16.65,32
6,ampere_sgemm_128x128_nn,1,33.33,16.65,32
6,ampere_sgemm_128x128_nn,2,33.33,16.65,32
6,ampere_sgemm_128x128_nn,3,33.33,16.65,32
6,ampere_sgemm_128x128_nn,4,33.33,16.65,32
6,ampere_sgemm_128x128_nn,5,33.33,16.65,32
6,ampere_sgemm_128x128_nn,6,33.33,16.65,32
6,ampere_sgemm_128x128_nn,7,33.33,16.65,32
6,ampere_sgemm_128x128_nn,8,33.33,16.65,32
6,ampere_sgemm_128x128_nn,9,33.33,16.65,32
7,ampere_sgemm_128x128_tn,0,33.33,16.64,32
7,ampere_sgemm_128x128_tn,1,33.33,16.64,32
7,ampere_sgemm_128x128_tn,2,33.33,16.64,32
7,ampere_sgemm_128x128_tn,3,33.33,16.64,32
7,ampere_sgemm_128x128_tn,4,33.33,16.64,32
7,ampere_sgemm_128x128_tn,5,33.33,16.64,32
7,ampere_sgemm_128x128_tn,6,33.33,16.64,32
7,ampere_sgemm_128x128_tn,7,33.33,16.64,32
7,ampere_sgemm_128x128_tn,8,33.33,16.64,32
7,ampere_sgemm_128x128_tn,9,33.33,16.64,32
